id;relid;year;active_year;code_status;type_of_violence;conflict_dset_id;conflict_new_id;conflict_name;dyad_dset_id;dyad_new_id;dyad_name;side_a_dset_id;side_a_new_id;side_a;side_b_dset_id;side_b_new_id;side_b;number_of_sources;source_article;source_office;source_date;source_headline;source_original;where_prec;where_coordinates;where_description;adm_1;adm_2;latitude;longitude;geom_wkt;priogrid_gid;country;country_id;region;event_clarity;date_prec;date_start;date_end;deaths_a;deaths_b;deaths_civilians;deaths_unknown;best_est;high_est;low_est
24829;GNB-1998-1-58-21.1;1998;True;Clear;1;410;410;Guinea-Bissau: Government;866;866;Government of Guinea-Bissau - Military Junta for the Consolidation of Democracy, Peace and Justice;70;70;Government of Guinea-Bissau;549;549;Military Junta for the Consolidation of Democracy, Peace and Justice;-1;Africa research bulletin (ARB) vol 35 no 11;;;;local rebel leader;1;Bafata town;Bafata town;Bafata region;Bafata sector;12.166667;-14.666667;POINT (-14.666667 12.166667);147211;Guinea-Bissau;404;Africa;2;4;10/10/1998 00:00;10/20/1998 00:00:00;0;0;0;0;0;24;0
24833;GNB-1998-1-58-17;1998;True;Clear;1;410;410;Guinea-Bissau: Government;866;866;Government of Guinea-Bissau - Military Junta for the Consolidation of Democracy, Peace and Justice;70;70;Government of Guinea-Bissau;549;549;Military Junta for the Consolidation of Democracy, Peace and Justice;-1;"Reuters 1998-07-09 ""FOCUS-Fighting in Bissau, questions in Senegal";;;;Military sources;6;Guinea-Bissau;Guinea-Bissau;;;12.000000;-15.000000;POINT (-15 12);147211;Guinea-Bissau;404;Africa;2;4;06/22/1998 00:00:00;07/09/1998 00:00;2;0;0;0;2;2;2
24835;GNB-1998-1-58-23;1998;True;Clear;1;410;410;Guinea-Bissau: Government;866;866;Government of Guinea-Bissau - Military Junta for the Consolidation of Democracy, Peace and Justice;70;70;Government of Guinea-Bissau;549;549;Military Junta for the Consolidation of Democracy, Peace and Justice;-1;Reuters 1998-10-22;;;;Senegalese army;1;Bissau city;Bissau city;Sector Autonomo de Bissau region;Bissau sector;11.850000;-15.583333;POINT (-15.583333 11.85);146489;Guinea-Bissau;404;Africa;1;2;10/20/1998 00:00:00;10/21/1998 00:00:00;6;40;0;0;46;46;46
24838;GNB-1999-1-58-2;1999;True;Clear;1;410;410;Guinea-Bissau: Government;866;866;Government of Guinea-Bissau - Military Junta for the Consolidation of Democracy, Peace and Justice;70;70;Government of Guinea-Bissau;549;549;Military Junta for the Consolidation of Democracy, Peace and Justice;-1;"RDP Antena 1 radio, Lisbon 1999-02-03, reported by BBC mon 1999-02-04 ""Fighting intensifies on 3rd February";;;;Lusa correspondent;1;Bissau city;Bissau city;Sector Autonomo de Bissau region;Bissau sector;11.850000;-15.583333;POINT (-15.583333 11.85);146489;Guinea-Bissau;404;Africa;1;1;02/03/1999 00:00;02/03/1999 00:00;0;0;0;45;45;45;45
24839;GNB-1998-1-58-10;1998;True;Clear;1;410;410;Guinea-Bissau: Government;866;866;Government of Guinea-Bissau - Military Junta for the Consolidation of Democracy, Peace and Justice;70;70;Government of Guinea-Bissau;549;549;Military Junta for the Consolidation of Democracy, Peace and Justice;-1;"Reuters 1998-06-25 ""Guinea Bissau rebels defiant, shelling goes on";;;;rebel spokesman;1;Bissau city;Bissau city;Sector Autonomo de Bissau region;Bissau sector;11.850000;-15.583333;POINT (-15.583333 11.85);146489;Guinea-Bissau;404;Africa;2;4;06/06/1998 00:00;06/24/1998 00:00:00;2;0;0;0;2;2;0
24840;GNB-1998-1-58-15;1998;True;Clear;1;410;410;Guinea-Bissau: Government;866;866;Government of Guinea-Bissau - Military Junta for the Consolidation of Democracy, Peace and Justice;70;70;Government of Guinea-Bissau;549;549;Military Junta for the Consolidation of Democracy, Peace and Justice;-1;"Reuters 1998-07-03 ""CORRECTED - More than 100 civilians killed in Bissau - agency";;;;missionary sources and eye-witnesses;2;Mansoa town;Mansoa town (near);Oio region;Mansoa sector;12.073333;-15.318889;POINT (-15.318889 12.073333);147210;Guinea-Bissau;404;Africa;1;1;07/02/1998 00:00;07/02/1998 00:00;0;0;101;0;101;101;101
24841;GNB-1998-1-58-7;1998;True;Clear;1;410;410;Guinea-Bissau: Government;866;866;Government of Guinea-Bissau - Military Junta for the Consolidation of Democracy, Peace and Justice;70;70;Government of Guinea-Bissau;549;549;Military Junta for the Consolidation of Democracy, Peace and Justice;-1;Africa research bulletin (ARB) vol 35 no 6;;;;;1;Bissalanca airport;Bissalanca Airport;Biombo region;Safim sector;11.883333;-15.650000;POINT (-15.65 11.883333);146489;Guinea-Bissau;404;Africa;1;1;06/20/1998 00:00:00;06/20/1998 00:00:00;10;0;0;0;10;10;10
24847;GNB-1998-1-58-3;1998;True;Clear;1;410;410;Guinea-Bissau: Government;866;866;Government of Guinea-Bissau - Military Junta for the Consolidation of Democracy, Peace and Justice;70;70;Government of Guinea-Bissau;549;549;Military Junta for the Consolidation of Democracy, Peace and Justice;-1;"Reuters 1998-06-13 ""Guinea-Bissau rebel stronghold falls";;;;Senegalese army, diplomatic sources;1;Bissau city;Bissau city;Sector Autonomo de Bissau region;Bissau sector;11.850000;-15.583333;POINT (-15.583333 11.85);146489;Guinea-Bissau;404;Africa;1;1;06/13/1998 00:00:00;06/13/1998 00:00:00;1;60;0;0;61;61;61
24867;GNB-1998-1-58-21.2;1998;True;Clear;1;410;410;Guinea-Bissau: Government;866;866;Government of Guinea-Bissau - Military Junta for the Consolidation of Democracy, Peace and Justice;70;70;Government of Guinea-Bissau;549;549;Military Junta for the Consolidation of Democracy, Peace and Justice;-1;Africa research bulletin (ARB) vol 35 no 11;;;;local rebel leader;1;Bambadinca town;Bambadinca town;Gabu region;Gabu sector;12.433333;-14.200000;POINT (-14.2 12.433333);147212;Guinea-Bissau;404;Africa;2;4;10/10/1998 00:00;10/20/1998 00:00:00;0;0;0;0;0;23;0
24872;GNB-1998-1-58-8;1998;True;Clear;1;410;410;Guinea-Bissau: Government;866;866;Government of Guinea-Bissau - Military Junta for the Consolidation of Democracy, Peace and Justice;70;70;Government of Guinea-Bissau;549;549;Military Junta for the Consolidation of Democracy, Peace and Justice;-1;"Reuters 1998-06-23 ""Senegal says Casamance rebels back Bissau mutiny";;;;;1;Bra barracks;Bra barracks;Sector Autonomo de Bissau region;Bissau sector;11.866667;-15.633333;POINT (-15.633333 11.866667);146489;Guinea-Bissau;404;Africa;2;4;06/07/1998 00:00;06/23/1998 00:00:00;0;10;0;0;10;10;10
24875;GNB-1998-1-58-18;1998;True;Clear;1;410;410;Guinea-Bissau: Government;866;866;Government of Guinea-Bissau - Military Junta for the Consolidation of Democracy, Peace and Justice;70;70;Government of Guinea-Bissau;549;549;Military Junta for the Consolidation of Democracy, Peace and Justice;-1;"Reuters 1998-07-17 ""Five killed in Bissau crossfire - Lusa";;;;Lusa news agency;1;Bissau city;Bissau city;Sector Autonomo de Bissau region;Bissau sector;11.850000;-15.583333;POINT (-15.583333 11.85);146489;Guinea-Bissau;404;Africa;1;1;07/17/1998 00:00:00;07/17/1998 00:00:00;0;0;6;0;6;6;6
39179;SEN-1992-1-129-3;1992;True;Clear;1;375;375;Senegal: Casamance;806;806;Government of Senegal - MFDC;73;73;Government of Senegal;529;529;MFDC;-1;www.cidcm.umd.edu/inscr/mar/data/sencasamchro.htm;;;;;3;Sao Domingos sector;Sao Domingos region;Cacheu region;Sao Domingos sector;12.401944;-16.200556;POINT (-16.200556 12.401944);147208;Guinea-Bissau;404;Africa;1;1;12/12/1992 00:00;12/12/1992 00:00;0;0;2;0;2;2;2
