id;relid;year;active_year;code_status;type_of_violence;conflict_dset_id;conflict_new_id;conflict_name;dyad_dset_id;dyad_new_id;dyad_name;side_a_dset_id;side_a_new_id;side_a;side_b_dset_id;side_b_new_id;side_b;number_of_sources;source_article;source_office;source_date;source_headline;source_original;where_prec;where_coordinates;where_description;adm_1;adm_2;latitude;longitude;geom_wkt;priogrid_gid;country;country_id;region;event_clarity;date_prec;date_start;date_end;deaths_a;deaths_b;deaths_civilians;deaths_unknown;best_est;high_est;low_est
487942;NIR-2023-1-14668-26;2023;True;Clear;1;13639;13639;Niger: Islamic State;14668,0;14668;Government of Niger - IS;75;75;Government of Niger;234;234;IS;1;"""HumAngle,2023-08-26,Jihadist Groups Remain Active In Niger Republic Despite New Military Leadership""";HumAngle;26/08/2023;Jihadist Groups Remain Active In Niger Republic Despite New Military Leadership;IS claim;6;Niger;Niger;;;16.000000;8.000000;POINT (8 16);153017;Niger;436;Africa;1;1;08/08/2023 00:00;08/08/2023 00:00;0;0;0;0;0;3;0
487944;NIR-2023-1-14668-27;2023;True;Clear;1;13639;13639;Niger: Islamic State;14668,0;14668;Government of Niger - IS;75;75;Government of Niger;234;234;IS;1;"""HumAngle,2023-08-26,Jihadist Groups Remain Active In Niger Republic Despite New Military Leadership""";HumAngle;26/08/2023;Jihadist Groups Remain Active In Niger Republic Despite New Military Leadership;IS claim;4;Tillabéri region;Tillaberi Region;Tillabéri region;;14.333330;2.083330;POINT (2.08333 14.33333);150125;Niger;436;Africa;1;1;08/22/2023 00:00:00;08/22/2023 00:00:00;0;0;0;0;0;1;0
20228;NIR-1994-1-111-5;1994;True;Clear;1;373;373;Niger: Air and Azawad;803,0;803;Government of Niger - CRA;75;75;Government of Niger;525;525;CRA;-1;Africa research bulletin (ARB) May 1994, 11452;;;;The Nigerien Interior Minister;2;Iferouane town;Iferouane town (near);Agadez region;Arlit department;19.062500;8.420000;POINT (8.42 19.0625);157337;Niger;436;Africa;1;1;05/16/1994 00:00:00;05/16/1994 00:00:00;0;15;0;0;15;15;15
279361;NIR-2019-1-14668-45;2019;True;Clear;1;13639;13639;Niger: Islamic State;14668,0;14668;Government of Niger - IS;75;75;Government of Niger;234;234;IS;6;"""Agence France Presse,2019-02-13,3 killed by suspected jihadists in Niger""";Sahelien;13/02/2019;Niger : Three gendarmes and one civilian killed in an attack on Bagaji market;Crisis Watch;;;;;;13.850240;4.046620;POINT (4.04662 13.85024);149409;Niger;436;Africa;1;1;02/13/2019 00:00:00;02/13/2019 00:00:00;0;0;0;0;0;4;0
391052;AFG-2021-3-973-591;2021;True;Clear;3;234;506;IS - Civilians;234,0;973;IS - Civilians;234;234;IS;9999;1;Civilians;1;"""Crisis Watch,2021-04-01,Niger MARCH 2021""";Crisis Watch;01/04/2021;Niger MARCH 2021;Crisis Watch;2;Garin Wanzam village;near Garin Wanzam settlement, Gueskérou commune;Diffa region;Diffa department;13.629998;12.897483;POINT (12.897483 13.629998);149426;Niger;436;Africa;1;1;03/01/2021 00:00;03/01/2021 00:00;0;0;4;0;4;4;4
404611;AFG-2021-3-973-225.1;2021;True;Clear;3;234;506;IS - Civilians;234,0;973;IS - Civilians;234;234;IS;9999;1;Civilians;2;"""BBC Monitoring Africa,2021-06-06,IS claims killing of Christians on Mali-Niger road""";;;;;;;;Tillabéri region;;14.333330;2.083330;POINT (2.08333 14.33333);150125;Niger;436;Africa;1;1;06/01/2021 00:00;06/01/2021 00:00;0;0;3;0;3;2;3
493328;NIR-2023-1-14668-36;2023;True;Clear;1;13639;13639;Niger: Islamic State;14668,0;14668;Government of Niger - IS;75;75;Government of Niger;234;234;IS;10;"""Wamaps ,2023-10-03,#Niger""";;;;;;;;Tahoua region;Tahoua department;15.137408;4.777261;POINT (4.7772617 15.1374084);151570;Niger;436;Africa;1;2;10/02/2023 00:00;10/03/2023 00:00;29;24;0;0;53;84;53
20247;NIR-1994-1-111-7;1994;True;Clear;1;373;373;Niger: Air and Azawad;803,0;803;Government of Niger - CRA;75;75;Government of Niger;525;525;CRA;-1;Regional Surveys of the World, 2002, p. 728;;;;;;;;Agadez region;;16.973333;7.991111;POINT (7.991111 16.973333);153736;Niger;436;Africa;2;4;05/01/1994 00:00;05/31/1994 00:00:00;0;0;0;0;0;40;0
20248;NIR-1994-1-111-3;1994;True;Clear;1;373;373;Niger: Air and Azawad;803,0;803;Government of Niger - CRA;75;75;Government of Niger;525;525;CRA;-1;Africa research bulletin (ARB) May 1994, 11452;;;;;6;Niger;Niger;;;16.000000;8.000000;POINT (8 16);153017;Niger;436;Africa;2;5;02/15/1994 00:00:00;05/16/1994 00:00:00;3;0;0;0;3;3;3
20258;NIR-1995-1-113-4;1995;True;Clear;1;406;406;Niger: Eastern Niger;859,0;859;Government of Niger - FDR;75;75;Government of Niger;543;543;FDR;-1;Africa research bulletin (ARB) July 1995, 11924;;;;FDR spokesman;5;Niger southeastern;Niger southeastern;;;13.315360;12.611345;POINT (12.611345 13.31536);148706;Niger;436;Africa;1;1;07/10/1995 00:00;07/10/1995 00:00;20;3;0;0;23;23;23
